"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Pekela"
"Nummer";"";"0765"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"OBS Feiko Clock";"Gemeentehuis";"Brede school De Groenling";"Dollard College (Pekela)";"Dorpshuis De Kiepe";"Zorgcentrum Clockstede";"Dorpshuis de Riggel"
"Gebiednummer";"";"";"";"";"1";"2";"3";"4";"5";"6";"7"
"Postcode";"";"";"";"";"9665 HT";"9665 JD";"9665 HS";"9665 RA";"9663 EG";"9663 CW";"9663 TT"
"";"";"22";"Kerkhof, F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"Hernández Martínez, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"Jansen, W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"Heere, T.J.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"Haasnoot, J.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"van Orsouw, J.H.T.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Molenaar, R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Haije, A.F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Spooren, A.J.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"de Meij, O.A.C.";"1";"0";"0";"0";"1";"0";"0";"0"
"";"";"32";"van Wanrooij, A.C.P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Brouwers, J.F.X.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"van Hulst, J.A.M.";"1";"1";"0";"0";"0";"0";"0";"0"
"";"";"35";"Gralike, R.B.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"36";"Bergwerf, F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"Goedhart, R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Veeze, C.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"de Vries, D.P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"Gertsen, J.W.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Meijer, H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"van Zanten, D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"ten Cate, H.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"Rose, F.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"Lamberts, H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"de Vries, A.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"van de Wal, H.J.C.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"Hoek, W.M.M.";"1";"0";"0";"0";"1";"0";"0";"0"
"";"";"49";"Struijlaard, J.W.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"12";"OndernemersPartij";"";"";"14";"2";"1";"4";"1";"0";"5";"1"
"";"";"1";"Brinkman, H.";"9";"2";"0";"4";"1";"0";"1";"1"
"";"";"2";"Gaasbeek, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"3";"de Vries, J.L.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"4";"Kicken, J.M.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"5";"van den Berg, J.O.";"4";"0";"1";"0";"0";"0";"3";"0"
"";"";"6";"de Koning, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"7";"Theocharis, S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"Andriol, S.J.R.";"1";"0";"0";"0";"0";"0";"1";"0"
"";"";"9";"Bol, R.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Reitsma, H.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"Wood, D.R.";"0";"0";"0";"0";"0";"0";"0";"0"
"13";"VNL (VoorNederland)";"";"";"29";"3";"6";"5";"5";"5";"4";"1"
"";"";"1";"Roos, J.H.";"26";"3";"5";"5";"3";"5";"4";"1"
"";"";"2";"van Klaveren, J.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"3";"Bontes, L.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"4";"Hoogwerf, T.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"5";"Sassen, J.H.N.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"Versteeg, M.A.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"7";"de Laat, J.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"van der Meer, S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Vermaas, P.C.";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"10";"Himpers, J.";"2";"0";"0";"0";"2";"0";"0";"0"
"";"";"11";"van Gemert, R.J.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Oosterhagen, H.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"Molema, J.F.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"de Gast, A.L.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"Chandarsing, A.S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"van Tiggelen, R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"de Veth, C.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"Stassen, L.J.A.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"14";"DENK";"";"";"15";"0";"5";"2";"7";"1";"0";"0"
"";"";"1";"Kuzu, T.";"14";"0";"5";"2";"7";"0";"0";"0"
"";"";"2";"Azarkan, F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"3";"Öztürk, S.";"1";"0";"0";"0";"0";"1";"0";"0"
"";"";"4";"Albitrouw, G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"5";"van Baarle, S.R.T.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"Charlot, M.J.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"7";"Taimounti, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"Kiliç, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Koolbergen, M.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Tsouli, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"van Splunter, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Uysal, ?.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"Karaman, R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"Raja, T.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"Kayi?, Y.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"Rana, M.Z.T.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"Demirel, N.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"Ince, K.";"0";"0";"0";"0";"0";"0";"0";"0"
"15";"NIEUWE WEGEN";"";"";"10";"3";"1";"1";"2";"3";"0";"0"
"";"";"1";"Oosenbrug, A.";"4";"1";"1";"1";"0";"1";"0";"0"
"";"";"2";"Monasch, J.S.";"4";"0";"0";"0";"2";"2";"0";"0"
"";"";"3";"Beemsterboer, R.J.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"4";"Ekiz, I.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"5";"Spitsbaard, A.W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"Vianen-van der Geest, G.C.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"7";"van Leeuwen, C.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"van Duijvenvoorde, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Jochems, I.C.A.M.";"1";"1";"0";"0";"0";"0";"0";"0"
"";"";"10";"Dijkstra, S.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"Durgaram, R.M.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"de Vries, Y.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"Verstappen, J.H.M.";"1";"1";"0";"0";"0";"0";"0";"0"
"";"";"14";"van Scheyen, I.S.L.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"de Jong, B.D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"van Leeuwen, G.L.F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"Pijpker, J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"van Eldik, D.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"Willemstein, J.S.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"Komdeur, E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"21";"van Dijken, R.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Heyser, R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"van Gessel, R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"Haak, M.H.D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"Thiemann, J.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"Visscher, K.J.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"Hurtado-Panek, J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"van der Maas, W.L.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"de Boer, S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Buchel, L.G.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"16";"Forum voor Democratie";"";"";"106";"12";"13";"17";"19";"18";"19";"8"
"";"";"1";"Baudet, T.H.P.";"70";"4";"7";"16";"16";"10";"13";"4"
"";"";"2";"Hiddema, T.U.";"23";"8";"2";"1";"3";"3";"2";"4"
"";"";"3";"Teunissen, S.M.";"3";"0";"2";"0";"0";"0";"1";"0"
"";"";"4";"Otten, H.";"1";"0";"0";"0";"0";"1";"0";"0"
"";"";"5";"Frentrop, P.M.L.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"Rooken, R.J.";"2";"0";"2";"0";"0";"0";"0";"0"
"";"";"7";"Stolze-van Rijn, S.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"Reedijk, G.P.";"1";"0";"0";"0";"0";"1";"0";"0"
"";"";"9";"Ramautarsing, Y.J.S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Brouwer, Z.M.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"de Vries, J.W.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Legger, A.L.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"Dieudonné, C.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"van Assen, G.J.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"Jeelof, G.W.D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"Boltjes, L.";"4";"0";"0";"0";"0";"2";"2";"0"
"";"";"17";"Berkhout, F.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"Boon, S.O.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"de Kok, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"de Groot, A.R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"21";"Berkhout, H.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Mooijekind, R.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"Eldering, C.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"Verbrugh, D.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"Koning, S.R.";"1";"0";"0";"0";"0";"0";"1";"0"
"";"";"26";"Kerklingh, H.K.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"Velzing, H.";"1";"0";"0";"0";"0";"1";"0";"0"
"";"";"28";"van Wely, L.F.A.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Ankersmit, F.R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Cliteur, P.B.";"0";"0";"0";"0";"0";"0";"0";"0"
"17";"De Burger Beweging";"";"";"8";"1";"1";"0";"0";"0";"6";"0"
"";"";"1";"Vlems, A.M.";"3";"0";"0";"0";"0";"0";"3";"0"
"";"";"2";"de Louw, A.J.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"3";"Rozendaal, H.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"4";"van der Linde, R.A.";"1";"0";"0";"0";"0";"0";"1";"0"
"";"";"5";"Siegers, A.K.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"Mul, A.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"7";"Migchels, A.R.P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"Titarsole, A.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Dubling, D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Ackerman, D.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"Holthuis, H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Bos, S.";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"13";"Vousten, G.J.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"Vogelaar, G.D.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"Bijl, J.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"van Steenbergen, J.T.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"Schönbeck, H.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"Hondema, A.R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"Venema, J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"Ghuijs, J.A.A.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"21";"Kirpensteijn, J.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Wilshaus, J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"Jansen, C.P.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"Haccou, H.K.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"van der Vlist, L.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"Hupe, L.B.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"Bervoets, L.F.";"2";"1";"0";"0";"0";"0";"1";"0"
"";"";"28";"Janssen, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Cornielje, M.J.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Lamers, M.R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"Hanff, M.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"van der Burgt, N.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"van Vliet, P.J.W.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"van de Graaf, M.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"Visser, O.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"36";"Graafsma, R.A.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"Geelen, R.W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Swami-Persaud, R.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"Tourgaidis, W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"Zoethout, S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Bruining, W.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"Massop, W.G.M.";"1";"0";"0";"0";"0";"0";"1";"0"
"18";"Vrijzinnige Partij";"";"";"2";"1";"0";"0";"0";"0";"0";"1"
"";"";"1";"Klein, N.P.M.";"1";"0";"0";"0";"0";"0";"0";"1"
"";"";"2";"Loomans, M.L.P.";"1";"1";"0";"0";"0";"0";"0";"0"
"";"";"3";"Wienbelt, M.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"4";"Westenberg, A.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"5";"Haddering, H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"Smit, W.F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"7";"Lammers, R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"Kuijpers, J.G.L.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Byrde, Y.A.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Huigens, A.F.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"Seelig, D.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Vorswijk, M.K.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"Zandberg, J.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"Stassen, L.B.";"0";"0";"0";"0";"0";"0";"0";"0"
"19";"GeenPeil";"";"";"1";"0";"0";"1";"0";"0";"0";"0"
"";"";"1";"Dijkgraaf, J.";"1";"0";"0";"1";"0";"0";"0";"0"
"";"";"2";"Dreijer, H.B.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"3";"Aarad, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"4";"Reijnaers, D.J.W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"5";"Klaver, C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"Akdo?an, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"7";"de Swart, N.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"Riemer, G.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Groenewoud, V.B.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Giebels, S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"Bal, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Brante, M.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"de Dood, H.J.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"de Konink, S.A.M.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"20";"Piratenpartij";"";"";"23";"2";"6";"3";"4";"5";"3";"0"
"";"";"1";"van de Leest, A.T.";"16";"2";"3";"3";"3";"4";"1";"0"
"";"";"2";"Pontier, M.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"3";"Brouwer, H.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"4";"Straver, A.T.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"5";"Downs-Hovestadt, P.M.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"Feitsma, T.T.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"7";"Lensink, M.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"Janssen, L.D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Sikkema, G.B.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Dulfer, M.";"1";"0";"0";"0";"1";"0";"0";"0"
"";"";"11";"Huurman, R.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Dieleman, B.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"Peskens, G.L.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"Maessen, W.M.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"Hallegraeff, D.S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"de Jong, J.T.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"Batstra, J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"van der Velde, V.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"Wijnans, F.P.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"van Oudheusden, L.J.";"1";"0";"0";"0";"0";"0";"1";"0"
"";"";"21";"Kleinpaste, G.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Stubbe, M.";"4";"0";"3";"0";"0";"1";"0";"0"
"";"";"23";"Borghuis ook genaamd op de Borg, D.R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"Schönberger, R.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"van Luxzenburg, E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"Bouyaara, O.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"van den Dool, C.W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Hofman, E.D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Pasterkamp, J.D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"van Vuuren, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"Biesma, A.R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"Gautier, J.T.N.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"van Ravensteijn, L.S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"Ziegler, F.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"Ventevogel, T.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"36";"Chaudry, K.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"Poot, D.";"1";"0";"0";"0";"0";"0";"1";"0"
"21";"Artikel 1";"";"";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"1";"Simons, S.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"2";"Faïd, F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"3";"Sins, B.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"4";"Akhechaa, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"5";"van Tricht, J.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"van der Kooye, M.I.D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"7";"Döll-Osei Ameyaw, P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"van Saarloos, S.C.";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"9";"Basabose, O.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Dekker, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"Hernández González, J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Witte, R.S.B.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"van de Vaate, G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"Leito, M.T.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"van der Veen, J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"Bakker, A.M.T.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"Wertheim, A.R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"Helberg, G.O.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"Wekker, G.D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"Meulenbelt, A.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"22";"Niet Stemmers";"";"";"11";"2";"0";"3";"1";"2";"2";"1"
"";"";"1";"Plasman, J.P.";"10";"2";"0";"3";"1";"2";"1";"1"
"";"";"2";"Plasman, R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"3";"Plasman, R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"4";"van Vliet, W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"5";"El Farougui, N.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"Rhee, R.P.R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"7";"Schwab, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"Karga, Y.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Konya, S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Held, R.A.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"Pentinga, C.H.";"1";"0";"0";"0";"0";"0";"1";"0"
"";"";"12";"Plasman-van Ligten, J.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"23";"Libertarische Partij (LP)";"";"";"3";"1";"0";"0";"0";"0";"2";"0"
"";"";"1";"Valentine, R.W.";"2";"1";"0";"0";"0";"0";"1";"0"
"";"";"2";"Inen, A.Q.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"3";"Bouscher, N.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"4";"Pailer, S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"5";"Hampton, M.W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"Backhuijs, W.Q.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"7";"Wessels, I.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"Knispel, K.J.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Wassenaar, K.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"van Ginkel, J.G.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"de Vries, A.J.W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Jansen, N.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"Nagtegaal, S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"van der Wal, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"Jansma, E.W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"Woudwijk, B.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"Koopmans, S.F.P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"Manders, T.T.A.J.";"1";"0";"0";"0";"0";"0";"1";"0"
"24";"Lokaal in de Kamer";"";"";"11";"1";"2";"0";"0";"4";"4";"0"
"";"";"1";"Heijman, J.H.W.F.";"6";"1";"0";"0";"0";"1";"4";"0"
"";"";"2";"van der Starre, J.J.";"1";"0";"0";"0";"0";"1";"0";"0"
"";"";"3";"Stultiens, R.M.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"4";"Leever, J.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"5";"Kunst-van Suijlekom, G.P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"Kraaijenbrink, R.A.";"2";"0";"0";"0";"0";"2";"0";"0"
