"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Pekela"
"Nummer";"";"0765"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"OBS Feiko Clock";"Gemeentehuis";"Brede school De Groenling";"Dollard College (Pekela)";"Dorpshuis De Kiepe";"Zorgcentrum Clockstede";"Dorpshuis de Riggel"
"Gebiednummer";"";"";"";"";"1";"2";"3";"4";"5";"6";"7"
"Postcode";"";"";"";"";"9665 HT";"9665 JD";"9665 HS";"9665 RA";"9663 EG";"9663 CW";"9663 TT"
"";"";"24";"Maij, M.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"de Kort, M.V.";"1";"1";"0";"0";"0";"0";"0";"0"
"";"";"26";"Roopram, R.D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"Hoogland, D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Schellekens, G.M.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"de Vries, A.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Biemans, M.S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"Brouwer, H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"Vos, M.L.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Reinaerts, J.L.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"Dibi, B.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"van Drooge, S.W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"36";"Asante, A.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"Ünver, E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Vermue, J.G.P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"van Dekken, T.R.";"20";"5";"6";"1";"1";"0";"7";"0"
"";"";"40";"Hedin-Penninx, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Deen, B.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"Vorselman-Derksen, C.H.W.J.";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"43";"Pentenga, F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"van den Boogaard, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"van Laar, R.P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Schrofer, T.T.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"van Houwelingen, H.E.F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"Mulder, M.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"49";"Bolhuis, W.D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"50";"Günal-Gezer, S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"51";"Staal, J.J.";"7";"1";"1";"5";"0";"0";"0";"0"
"";"";"52";"Boot, E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"53";"Chahim, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"54";"Koenders, P.T.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"55";"Breederveld, R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"56";"Menenti, L.M.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"57";"van de Burgt, R.H.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"58";"Repetur, M.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"59";"Akrouh, S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"60";"Engbers, A.H.M.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"61";"Ronnes, T.L.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"62";"Wijntuin, P.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"63";"Brouwers, L.W.L.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"64";"van Zantvoort, A.H.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"65";"Cohen, F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"66";"Dankert, A.T.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"67";"Bouteibi, H.";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"68";"Voigt, I.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"69";"Schuurman Hess, J.N.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"70";"Klomp, B.C.D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"71";"Keizer, H.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"72";"Houben, T.A.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"73";"van 't Zelfde, E.R.M.";"3";"0";"0";"0";"0";"2";"1";"0"
"";"";"74";"Doevendans, S.S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"75";"de Haan, F.G.";"2";"0";"0";"1";"0";"0";"1";"0"
"";"";"76";"Bloemhoff, C.E.";"2";"0";"0";"0";"0";"1";"0";"1"
"";"";"77";"van de Kolk, J.W.";"1";"0";"0";"0";"0";"1";"0";"0"
"";"";"78";"Broekhuizen-Smit, L.K.";"8";"1";"3";"2";"0";"2";"0";"0"
"";"";"79";"Plandsoen, B.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"80";"Schollema, B.";"9";"0";"2";"1";"1";"0";"1";"4"
"3";"PVV (Partij voor de Vrijheid)";"";"";"1791";"323";"405";"351";"172";"200";"233";"107"
"";"";"1";"Wilders, G.";"1708";"310";"388";"335";"161";"190";"221";"103"
"";"";"2";"Agema, M.";"52";"8";"10";"11";"8";"4";"8";"3"
"";"";"3";"Maeijer, V.";"5";"0";"4";"0";"0";"0";"0";"1"
"";"";"4";"Markuszower, G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"5";"Fritsma, S.R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"Bosma, M.";"3";"1";"0";"0";"1";"0";"1";"0"
"";"";"7";"Madlener, B.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"van Dijck, A.P.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Helder, L.M.J.S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Beertema, H.J.";"4";"0";"1";"0";"1";"2";"0";"0"
"";"";"11";"de Graaf, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Graus, D.J.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"de Roon, R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"van Weerdenburg, V.D.D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"Mulder, E.";"5";"1";"0";"1";"1";"1";"1";"0"
"";"";"16";"Gerbrands, K.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"de Jong, L.W.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"Popken, G.J.F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"Kops, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"van Aalst, R.R.";"1";"1";"0";"0";"0";"0";"0";"0"
"";"";"21";"van Dijk, E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Housmans, R.W.P.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"Jansen, C.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"de Vree, J.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"Aardema, M.";"7";"1";"1";"2";"0";"3";"0";"0"
"";"";"26";"van Dijk, A.J.A.";"1";"0";"0";"1";"0";"0";"0";"0"
"";"";"27";"de Winter, D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Bezaan, I.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Kardol, J.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Vlottes, E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"de Jong, R.G.J.";"2";"0";"1";"0";"0";"0";"1";"0"
"";"";"32";"van Pijkeren, J.";"1";"0";"0";"1";"0";"0";"0";"0"
"";"";"33";"Rijken, J.J.";"1";"0";"0";"0";"0";"0";"1";"0"
"";"";"34";"IJssennagger, H.";"0";"0";"0";"0";"0";"0";"0";"0"
