;Tweede Kamer Verkiezing - 15 maart 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;D e f i n i t i e v e  u i t s l a g;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;20,45%;6,43%;15,39%;6,01%;6,22%;14,27%;1,85%;11,06%;0,49%;4,47%;2,58%;0,09%;0,29%;7,29%;0,11%;1,83%;0,04%;0,03%;0,06%;0,43%;0,41%;0,08%;0,02%;0,06%;0,02%;
;Gemeente Den Haag;;;349.164;262.776;53.733;16.900;40.436;15.801;16.346;37.511;4.858;29.064;1.291;11.733;6.788;236;754;19.154;298;4.815;114;86;158;1.139;1.090;209;55;159;48;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Stembureau;Stadsdeel;Wijk;Kiesger;Stemmen;VVD;P.v.d.A.;PVV;SP;CDA;D66;Christen Unie;GROENLINKS;SGP;Partij voor de Dieren;50PLUS;OndernemersPartij;VNL;DENK;NIEUWE WEGEN;Forum voor Democratie;De Burger Beweging;Vrijzinnige Partij;GeenPeil;Piratenpartij;Artikel 1;Niet Stemmers;Libertarische Partij;Lokaal in de Kamer;Vrije Democratische Partij;
219;WoonZorgPark Swaenesteijn;Escamp;Leyenburg;1.965;1.583;280;109;330;118;140;155;42;160;16;75;79;0;4;12;5;39;0;0;1;8;2;1;1;6;0;
221;WoonZorgPark Swaenehove;Escamp;Leyenburg;1.422;1.001;163;60;253;96;93;86;18;74;8;51;51;1;1;8;2;25;0;1;2;3;5;0;0;0;0;
225;Wijkcentrum Bouwlust;Escamp;Bouwlust/Vrederust;1.765;1.295;96;103;163;134;42;114;17;119;4;33;30;0;1;406;3;15;0;0;0;3;8;1;2;1;0;
227;RKBS De Zuidwester;Escamp;Bouwlust/Vrederust;1.635;1.033;120;70;188;108;55;105;4;75;12;36;47;0;3;191;0;7;1;0;2;3;5;0;0;0;1;
228;Verpleeghuis De Lozerhof;Escamp;Bouwlust/Vrederust;2.130;1.218;118;92;344;99;80;68;18;115;5;48;55;0;2;143;2;20;0;1;0;2;5;1;0;0;0;
229;Florence Expertisecentrum Gulden Huis;Escamp;Bouwlust/Vrederust;1.024;872;91;45;188;75;55;90;16;87;3;26;34;4;0;134;2;11;2;0;2;1;5;0;0;1;0;
230;Florence Expertisecentrum Gulden Huis;Escamp;Bouwlust/Vrederust;2.023;760;76;54;170;83;36;59;11;70;0;26;32;4;7;118;1;5;0;0;0;1;3;3;0;1;0;
232;SBO De Springplank;Escamp;Bouwlust/Vrederust;2.023;1.466;230;84;260;122;77;139;18;135;4;34;45;1;3;282;2;9;0;0;3;4;7;3;1;2;1;
234;Blokpoelschool;Escamp;Bouwlust/Vrederust;2.163;1.100;116;46;247;112;50;80;15;96;2;23;45;1;3;237;1;21;0;0;0;2;3;0;0;0;0;
235;Verpleeghuis Vrederust-West;Escamp;Bouwlust/Vrederust;1.965;1.154;137;113;243;93;96;86;23;74;10;34;55;1;3;154;2;14;2;1;0;1;10;0;0;2;0;
239;Stadsdeelkantoor Escamp;Escamp;Morgenstond;1.158;1.724;219;146;291;166;71;180;33;167;6;61;59;2;2;273;2;24;1;3;0;6;11;0;0;0;1;
242;Ontmoetingscentrum Morgenstond;Escamp;Morgenstond;1.197;610;89;54;125;63;39;53;14;47;1;9;30;1;3;73;1;4;0;0;1;1;1;0;0;1;0;
244;AC Sparring - Gemiva SVG Groep;Escamp;Morgenstond;1.026;346;26;33;90;24;22;28;4;40;2;12;33;0;1;23;0;5;0;0;0;0;1;1;1;0;0;
245;Middin Drentheplantsoen;Escamp;Morgenstond;893;563;72;47;129;48;61;39;15;37;4;18;36;0;2;39;0;9;0;0;0;5;2;0;0;0;0;
246;ROC Mondriaan;Escamp;Morgenstond;2.451;824;151;68;179;66;51;70;13;58;2;25;39;0;2;72;1;11;0;0;0;2;10;0;1;3;0;
247;ROC Mondriaan;Escamp;Morgenstond;102;798;124;64;169;56;48;70;10;68;7;38;31;1;2;85;0;11;0;0;1;2;7;3;0;1;0;
254;Woonzorgcentrum Moerwijk;Escamp;Moerwijk;1.263;831;72;64;206;83;33;72;20;59;2;35;34;1;0;130;1;5;0;0;0;7;6;1;0;0;0;
258;Florence WZC CoornhertCentrum;Escamp;Moerwijk;1.572;996;92;81;232;88;64;88;23;80;8;31;34;0;4;147;0;8;0;2;0;6;2;2;2;2;0;
259;Wijkcentrum Moerwijk;Escamp;Moerwijk;1.694;1.055;91;96;208;106;34;102;13;119;3;24;51;0;6;177;1;8;1;0;2;2;9;0;0;2;0;
261;Verzorgingshuis Waterhof;Escamp;Wateringse Veld;1.342;607;88;57;154;57;40;46;9;43;2;27;29;1;1;31;2;13;1;0;0;2;1;1;1;0;1;
262;Maria Montessorischool;Escamp;Wateringse Veld;1.391;1.149;393;45;172;30;77;171;24;80;4;24;26;2;2;62;0;31;0;0;0;3;1;1;0;1;0;
264;Openbare Daltonschool De Vijver;Escamp;Wateringse Veld;3.270;1.205;268;60;279;76;77;139;15;92;3;26;32;0;9;87;2;27;2;0;0;2;9;0;0;0;0;
265;RKBS De Fontein;Escamp;Wateringse Veld;2.140;1.293;310;54;255;98;102;165;14;89;0;19;35;1;8;106;0;26;1;0;0;3;4;0;0;2;1;
266;RKBS De Fontein;Escamp;Wateringse Veld;552;1.392;398;70;236;87;89;165;23;99;4;37;23;3;5;105;1;34;0;1;0;5;6;0;0;1;0;
268;WZH Hoge Veld;Escamp;Wateringse Veld;2.214;1.178;259;58;298;69;89;132;14;84;1;34;34;0;3;78;0;15;0;0;1;3;5;1;0;0;0;
270;CBS De Gantel;Escamp;Wateringse Veld;2.187;1.802;511;104;339;79;168;212;25;116;6;42;66;1;6;64;7;40;0;1;0;7;4;0;3;1;0;
271;Openbare Daltonschool De Vijver;Escamp;Wateringse Veld;136;1.247;243;69;296;90;84;172;16;86;3;28;33;1;6;79;2;28;0;1;1;3;4;1;0;1;0;
274;Prof. Mr. A. Anemaschool;Escamp;Bouwlust/Vrederust;1.243;747;69;63;111;73;22;55;11;90;4;18;23;0;2;186;1;10;0;0;2;3;4;0;0;0;0;
275;Roemer Visscher College;Escamp;Moerwijk;1.736;737;49;68;172;98;27;67;11;66;5;18;30;1;1;116;0;5;0;0;0;1;2;0;0;0;0;
277;OBS De Drentse Hoek;Escamp;Morgenstond;360;450;53;31;84;36;23;46;6;33;2;9;11;1;1;100;0;8;0;0;0;3;1;2;0;0;0;
278;Haga Ziekenhuis;Escamp;Leyenburg;720;1.391;269;89;228;106;90;184;24;161;8;59;58;0;2;67;3;29;1;1;0;7;4;0;0;1;0;
