LijstNr,Aanduiding van de politieke groepering,Nr,Naam op de lijst,Totaal,Sb 1,Sb 2,Sb 3,Sb 4,Sb 5,Sb 6,Sb 7,Sb 8,Sb 9,Sb 10,Sb 11
",,74,""Doevendans, S.S. (Sandra) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,75,""de Haan, F.G. (Foppe) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,76,""Bouazani, K. (Gadiza) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,77,""Teeuwen, N.A. (Nicole) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,78,""de Waal, S.P.M. (Steven) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,79,""Imming, F.G. (Fleur) (v)"",1,0,0,0,0,1,0,0,0,0,0,0"
",,80,""Spekman, J.L. (Hans) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
"3,PVV (Partij voor de Vrijheid),1,""Wilders, G. (Geert) (m)"",1619,160,189,121,155,165,147,158,140,162,47,175"
",,2,""Agema, M. (Fleur) (v)"",81,7,10,7,7,8,8,11,2,1,1,19"
",,3,""Maeijer, V. (Vicky) (v)"",5,0,0,0,0,0,1,0,2,1,0,1"
",,4,""Markuszower, G. (Gidi) (m)"",2,0,0,0,1,0,0,0,0,0,0,1"
",,5,""Fritsma, S.R. (Sietse) (m)"",1,0,0,0,0,0,0,1,0,0,0,0"
",,6,""Bosma, M. (Martin) (m)"",7,0,0,2,0,3,1,1,0,0,0,0"
",,7,""Madlener, B. (Barry) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,8,""van Dijck, A.P.C. (Teun) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,9,""Helder, L.M.J.S. (Lilian) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""Beertema, H.J. (Harm) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,11,""de Graaf, M. (Machiel) (m)"",1,1,0,0,0,0,0,0,0,0,0,0"
",,12,""Graus, D.J.G. (Dion) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,13,""de Roon, R. (Raymond) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,14,""van Weerdenburg, V.D.D. (Danai) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,15,""Mulder, E. (Edgar) (m)"",2,0,0,0,1,0,0,0,0,0,0,1"
",,16,""Gerbrands, K. (Karen) (v)"",1,0,0,0,0,0,0,0,1,0,0,0"
",,17,""de Jong, L.W.E. (Léon) (m)"",2,0,0,2,0,0,0,0,0,0,0,0"
",,18,""Popken, G.J.F. (Gabriëlle) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,19,""Kops, A. (Alexander) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,20,""van Aalst, R.R. (Roy) (m)"",1,0,0,0,0,0,0,0,0,0,1,0"
",,21,""van Dijk, E. (Emiel) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,22,""Housmans, R.W.P.E. (Robert) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,23,""Jansen, C.A. (Chris) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,24,""de Vree, J.H. (Henk) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,25,""Aardema, M. (Max) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,26,""van Dijk, A.J.A. (Toon) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,27,""de Winter, D. (Daniëlle) (v)"",1,0,0,0,1,0,0,0,0,0,0,0"
",,28,""Bezaan, I.A. (Ilse) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,29,""Kardol, J.C. (Joyce) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,30,""Vlottes, E. (Elmar) (m)"",1,0,0,1,0,0,0,0,0,0,0,0"
",,31,""de Jong, R.G.J. (Rob) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,32,""van Pijkeren, J. (An) (v)"",48,9,6,4,3,7,4,5,2,2,2,4"
",,33,""Rijken, J.J. (Jeffrey) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,34,""IJssennagger, H. (Han) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,35,""van Deún, H. (Henk) (m)"",1,1,0,0,0,0,0,0,0,0,0,0"
",,36,""Vermeer, T.F. (Tim) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,37,""Buitelaar, O.S.J. (Olaf) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,38,""Dulfer, T.F. (Tessa) (v)"",1,0,0,0,0,0,0,0,1,0,0,0"
",,39,""Boon, M.C.H. (Maikel) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,40,""Braam, E.G.T. (Ed) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,41,""Ludriks, M.S. (Menno) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,42,""Choenni, N.A. (Nathalie) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,43,""Roks, L.A.G. (Louis) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,44,""Thiadens, F.M. (Folkert) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,45,""van Hees, E.P.G. (Elias) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,46,""Kooman, C.V.A. (Caroline) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,47,""van der Sluijs, D.J. (Dannij) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,48,""van Hattem, A.W.J.A. (Alexander) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,49,""Stuger, O.F. (Olaf) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,50,""van Strien, G.A. (Gom) (m)"",1,0,0,0,0,0,0,0,0,0,0,1"
"4,SP (Socialistische Partij),1,""Roemer, E.G.M. (Emile) (m)"",220,18,34,5,19,31,26,24,24,22,5,12"
",,2,""Leijten, R.M. (Renske) (v)"",17,2,1,1,3,4,0,0,1,2,0,3"
",,3,""Marijnissen, L.M.C. (Lillian) (v)"",29,5,1,2,4,2,2,4,4,3,1,1"
",,4,""van Raak, A.A.G.M. (Ronald) (m)"",1,0,0,0,0,1,0,0,0,0,0,0"
",,5,""Karabulut, S. (Sadet) (v)"",12,0,0,6,3,0,0,1,0,1,0,1"
",,6,""Beckerman, S.M. (Sandra) (v)"",2,0,1,0,0,1,0,0,0,0,0,0"
",,7,""van Nispen, M. (Michiel) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,8,""Kwint, J.P. (Peter) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,9,""van Kent, B. (Bart) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""Laçin, C. (Cem) (m)"",7,0,0,3,0,0,0,0,0,1,0,3"
",,11,""Futselaar, F.W. (Frank) (m)"",1,1,0,0,0,0,0,0,0,0,0,0"
",,12,""Kooiman, C.J.E. (Nine) (v)"",3,1,0,0,1,0,1,0,0,0,0,0"
",,13,""Hijink, H.P.M. (Maarten) (m)"",5,1,2,0,1,0,0,0,0,1,0,0"
",,14,""van Dijk, J.J. (Jasper) (m)"",2,0,0,0,0,0,0,1,1,0,0,0"
",,15,""Smaling, E.M.A. (Eric) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,16,""Alkaya, M.Ö. (Mahir) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,17,""van Gerven, H.P.J. (Henk) (m)"",3,0,0,1,0,0,0,0,0,2,0,0"
",,18,""Olders, D.W.J. (Diederik) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,19,""Heerschop, A.H.J. (Ton) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,20,""Meijer, A.M. (Ad) (m)"",2,0,0,0,2,0,0,0,0,0,0,0"
",,21,""Maes, S.A.A. (Bas) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,22,""Meyer, R.P.E. (Ron) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,23,""van Dijk - van Leeuwen, S.Y. (Sun Yoon) (v)"",1,0,1,0,0,0,0,0,0,0,0,0"
",,24,""de Wit, D.H. (Daniël) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,25,""Peterse, B. (Bert) (m)"",3,0,0,0,2,0,0,1,0,0,0,0"
