LijstNr,Aanduiding van de politieke groepering,Nr,Naam op de lijst,Totaal,Sb 1,Sb 2,Sb 3,Sb 4,Sb 5,Sb 6,Sb 7,Sb 8,Sb 9,Sb 10,Sb 11
",,48,""van Veen, B. (Babette) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,49,""Verbaan, G.C. (Georgina) (v)"",1,0,0,0,0,0,0,1,0,0,0,0"
",,50,""Woesthoff, M.F.F. (Dinand) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
"11,50PLUS,1,""Krol, H.C.M. (Henk) (m)"",169,19,26,6,15,20,6,26,15,16,5,15"
",,2,""Sazias, L. (Léonie) (v)"",53,2,4,1,7,14,3,7,3,4,2,6"
",,3,""van Rooijen, M.J. (Martin) (m)"",4,1,0,0,1,0,0,2,0,0,0,0"
",,4,""van Brenk, C.M. (Corrie) (v)"",2,0,1,0,0,0,0,0,0,1,0,0"
",,5,""van Otterloo, G.J.P. (Gerrit Jan) (m)"",2,0,1,0,1,0,0,0,0,0,0,0"
",,6,""Geleijnse, S. (Simon) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,7,""Bode, E.M. (Emile) (m)"",4,0,0,0,0,2,1,1,0,0,0,0"
",,8,""Schrover, W.A.A. (Wilma) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,9,""Koopman, M. (Maurice) (m)"",3,0,2,0,0,0,0,0,0,1,0,0"
",,10,""de Brouwer, R.B.P. (Rob) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,11,""Wiersma, T. (Theun) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,12,""Bergen, P.H. (Presley) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,13,""van Veeren, P. (Petra) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,14,""Willemse, W. (Willem) (m)"",1,0,0,0,0,0,1,0,0,0,0,0"
",,15,""Fonhof, G.J. (Jan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,16,""Kroonstuiver, N.L.D. (Natascha) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,17,""Verboom, H.J. (Henk Jan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,18,""van de Griendt, M.W.E. (Monique) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,19,""van Overveld, W.A.A.M. (Wim) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,20,""Hamersma, K. (Klaas) (m)"",2,0,0,0,0,0,0,2,0,0,0,0"
",,21,""Siepel, H. (Harry) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,22,""Kerkhof, F. (Fred) (m)"",1,0,0,0,1,0,0,0,0,0,0,0"
",,23,""Hernández Martínez, A. (Adriana) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,24,""Jansen, W. (Wout) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,25,""Heere, T.J.M. (Theo) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,26,""Haasnoot, J.H. (Jaap) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,27,""van Orsouw, J.H.T. (Joop) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,28,""Molenaar, R. (Rosa) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,29,""Haije, A.F. (Arno) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,30,""Spooren, A.J.M. (Chris) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,31,""de Meij, O.A.C. (Olga) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,32,""van Wanrooij, A.C.P. (André) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,33,""Brouwers, J.F.X.M. (Jan Frans) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,34,""van Hulst, J.A.M. (Jolanda) (v)"",1,0,0,0,0,0,0,0,0,1,0,0"
",,35,""Gralike, R.B.M. (Rhianna) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,36,""Bergwerf, F. (Frans) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,37,""van der Schaaf, A. (Andreas) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,38,""Hilte, M.S. (Marianne) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,39,""Pastoor, H.H. (Henri) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,40,""de Vries, D.P. (Dick) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,41,""Gertsen, J.W.M. (Hans) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,42,""Meijer, H. (Hein) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,43,""van Zanten, D. (Dick) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,44,""ten Cate, H.J. (Hylke) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,45,""Rose, F.J. (Frans) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,46,""Lamberts, H. (Harry) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,47,""de Vries, A.E. (Auke) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,48,""van de Wal, H.J.C.M. (Henry) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,49,""Hoek, W.M.M. (Mieke) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,50,""Struijlaard, J.W.A. (John) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
"12,OndernemersPartij,1,""Brinkman, H. (Hero) (m)"",3,0,0,0,0,0,0,2,1,0,0,0"
",,2,""Gaasbeek, M. (Martine) (v)"",2,0,0,0,1,0,0,0,1,0,0,0"
",,3,""de Vries, J.L.G. (Jos) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,4,""Kicken, J.M.H. (Patrick) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,5,""van den Berg, J.O. (Jos) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,6,""de Koning, M. (Mariëtta) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,7,""Theocharis, S. (Stavros) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,8,""Andriol, S.J.R. (Sophie) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,9,""Bol, R.G. (René) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""Reitsma, H.H. (Harry) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,11,""Wood, D.R. (Denis) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
"13,VNL (VoorNederland),1,""Roos, J.H. (Jan) (m)"",29,3,1,3,4,2,2,3,8,0,0,3"
",,2,""van Klaveren, J.J. (Joram) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,3,""Bontes, L. (Louis) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,4,""Hoogwerf, T.C. (Tanya) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,5,""Sassen, J.H.N.A. (Alexander) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,6,""Versteeg, M.A.J. (Michel) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,7,""de Laat, J.M. (Jan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,8,""van der Meer, S. (Symen) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,9,""Vermaas, P.C. (Peter) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""Himpers, J. (Jeffrey) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,11,""van Gemert, R.J.H. (René) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,12,""Oosterhagen, H.J. (Johan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,13,""Molema, J.F.H. (Johan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,14,""de Gast, A.L.M. (Arjan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,15,""Chandarsing, A.S. (Sachin) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,16,""van Tiggelen, R. (Ronald) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,17,""de Veth, C.G. (Chris) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,18,""Stassen, L.J.A.J. (Laurence) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
"14,DENK,1,""Kuzu, T. (Tunahan) (m)"",85,24,7,3,10,32,0,2,3,3,0,1"
",,2,""Azarkan, F. (Farid) (m)"",5,2,0,0,1,0,0,0,0,2,0,0"
",,3,""Öztürk, S. (Selcuk) (m)"",3,2,0,0,0,1,0,0,0,0,0,0"
",,4,""Albitrouw, G. (Gladys) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,5,""van Baarle, S.R.T. (Stephan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,6,""Charlot, M.J.H. (Magdalena) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,7,""Taimounti, M. (Mourad) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,8,""Kiliç, A. (Ayşegül) (v)"",1,1,0,0,0,0,0,0,0,0,0,0"
",,9,""Koolbergen, M.M. (Marisa) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""Tsouli, A. (Ali) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,11,""van Splunter, M. (Marit) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,12,""Uysal, Ş. (Şerif) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,13,""Karaman, R. (Rabia) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,14,""Raja, T.M. (Talhat) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,15,""Kayiş, Y. (Yunus) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,16,""Rana, M.Z.T. (Zaheer) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,17,""Demirel, N. (Nevzat) (m)"",1,0,0,0,0,0,0,1,0,0,0,0"
",,18,""Ince, K. (Keziban) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
"15,NIEUWE WEGEN,1,""Oosenbrug, A. (Alfred) (m)"",6,1,1,0,1,0,2,1,0,0,0,0"
",,2,""Monasch, J.S. (Jacques) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,3,""Beemsterboer, R.J.C. (Ramona) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,4,""Ekiz, I. (Iprahim) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,5,""Spitsbaard, A.W. (Ton) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,6,""Vianen - van der Geest, G.C.J. (Wendy) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,7,""van Leeuwen, C.H. (Kees) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,8,""van Duijvenvoorde, A. (Arjan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,9,""Jochems, I.C.A.M. (Inge) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""Dijkstra, S.J. (Sietze Jan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,11,""Durgaram, R.M.H. (Romeo) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,12,""de Vries, Y. (Yvonne) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,13,""Verstappen, J.H.M. (Jaco) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,14,""van Scheyen, I.S.L. (Bo) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,15,""de Jong, B.D. (David) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,16,""van Leeuwen, G.L.F. (George) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,17,""Pijpker, J. (Jeanet) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,18,""van Eldik, D.A. (Erik) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,19,""Willemstein, J.S.A. (Hanneke) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,20,""Komdeur, E. (Eddie) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,21,""van Dijken, R.G. (Roelof) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,22,""Heyser, R. (Roelof) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,23,""van Gessel, R. (Ruud) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,24,""Haak, M.H.D. (Marco) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,25,""Thiemann, J.H. (John) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,26,""Visscher, K.J.J. (Jorik) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,27,""Hurtado - Panek, J. (Jana) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,28,""van der Maas, W.L. (Wim) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,29,""de Boer, S. (Simone) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,30,""Buchel, L.G.H. (Leo) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
"16,Forum voor Democratie,1,""Baudet, T.H.P. (Thierry) (m)"",144,30,11,8,17,10,9,19,9,13,7,11"
",,2,""Hiddema, T.U. (Theo) (m)"",67,11,2,3,3,7,7,14,4,8,3,5"
",,3,""Teunissen, S.M. (Susan) (v)"",9,1,2,3,0,3,0,0,0,0,0,0"
",,4,""Otten, H. (Henk) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,5,""Frentrop, P.M.L. (Paul) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,6,""Rooken, R.J. (Rob) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,7,""Stolze - van Rijn, S.E. (Susan) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,8,""Reedijk, G.P. (Gert) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,9,""Ramautarsing, Y.J.S. (Yernaz) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""Brouwer, Z.M.A. (Zlata) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,11,""de Vries, J.W.E. (Jeroen) (m)"",1,0,0,0,0,0,0,0,0,0,1,0"
",,12,""Legger, A.L. (Arthur) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,13,""Dieudonné, C.A. (Carola) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,14,""van Assen, G.J.E. (Godert) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,15,""Jeelof, G.W.D. (Geert) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,16,""Boltjes, L. (Luke) (m)"",1,0,0,1,0,0,0,0,0,0,0,0"
",,17,""Berkhout, F.J. (Freek Jan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,18,""Boon, S.O. (Sander) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,19,""de Kok, A. (Arjan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,20,""de Groot, A.R. (Astrid) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,21,""Berkhout, H.A. (Hugo) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,22,""Mooijekind, R.A. (Roel) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,23,""Eldering, C.H. (Kees) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,24,""Verbrugh, D.J. (Erik) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,25,""Koning, S.R. (Saskia) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,26,""Kerklingh, H.K. (Hemmie) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,27,""Velzing, H. (Hendrikus) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,28,""van Wely, L.F.A.M. (Loek) (m)"",1,0,0,0,0,0,0,0,1,0,0,0"
",,29,""Ankersmit, F.R. (Frank) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,30,""Cliteur, P.B. (Paul) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
"17,De Burger Beweging,1,""Vlems, A.M. (Ad) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,2,""de Louw, A.J.H. (Albert) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,3,""Rozendaal, H.A. (André) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,4,""van der Linde, R.A. (Anita) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,5,""Siegers, A.K. (Anke) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,6,""Mul, A.M. (Annette) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,7,""Migchels, A.R.P. (Anthony) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,8,""Titarsole, A.J. (Augusto) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,9,""Dubling, D. (Dirk) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""Ackerman, D.M. (Elovena) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,11,""Holthuis, H. (Erik) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,12,""Bos, S. (Frieda) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,13,""Vousten, G.J.H. (Geert) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,14,""Vogelaar, G.D.M. (Gio) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,15,""Bijl, J.H. (Hanneke) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,16,""van Steenbergen, J.T. (Hans) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,17,""Schönbeck, H.A. (Hugo) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,18,""Hondema, A.R. (Indi) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,19,""Venema, J. (Janita) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,20,""Ghuijs, J.A.A.M. (Jeroen) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,21,""Kirpensteijn, J.J. (Jolanda) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,22,""Wilshaus, J. (Jolanda) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,23,""Jansen, C.P.M. (Karina) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,24,""Haccou, H.K. (Kitty) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,25,""van der Vlist, L. (Leo) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,26,""Hupe, L.B. (Lex) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,27,""Bervoets, L.F. (Louis) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,28,""Janssen, M. (Marco) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,29,""Cornielje, M.J.M. (Marielle) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,30,""Lamers, M.R. (Marnix) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,31,""Hanff, M.J. (Marijke) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,32,""van der Burgt, N.J. (Nina) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,33,""van Vliet, P.J.W.G. (Peter) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,34,""van de Graaf, M.J. (Purusha) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,35,""Visser, O.J. (Rene) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,36,""Graafsma, R.A.J. (René) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,37,""Geelen, R.W. (Robbert) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,38,""Swami - Persaud, R.H. (Robert) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,39,""Tourgaidis, W. (Roula) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,40,""Zoethout, S. (Sjoerd) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,41,""Bruining, W.E. (Wernard) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,42,""Massop, W.G.M. (Wim) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
"18,Vrijzinnige Partij,1,""Klein, N.P.M. (Norbert) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,2,""Loomans, M.L.P. (Marie-Louise) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,3,""Wienbelt, M.C. (Maarten) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,4,""Westenberg, A.A. (Artemis) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,5,""Haddering, H. (Harry) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,6,""Smit, W.F. (Wouter) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,7,""Lammers, R. (Ruud) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,8,""Kuijpers, J.G.L. (Gerard) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,9,""Byrde, Y.A.C. (Yohan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""Huigens, A.F.J. (Antoon) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,11,""Seelig, D.A. (Dino) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,12,""Vorswijk, M.K. (Martin) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,13,""Zandberg, J.G. (Jeroen) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,14,""Stassen, L.B. (Lucas) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
"19,GeenPeil,1,""Dijkgraaf, J. (Jan) (m)"",1,0,0,0,0,0,0,0,0,0,0,1"
",,2,""Dreijer, H.B.E. (Beryl) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,3,""Aarad, A. (Ahmed) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,4,""Reijnaers, D.J.W. (Damiaan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,5,""Klaver, C. (Chantal) (v)"",1,0,0,1,0,0,0,0,0,0,0,0"
",,6,""Akdoğan, A. (Alptekin) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,7,""de Swart, N.C. (Niels) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,8,""Riemer, G.J. (Geert-Johan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,9,""Groenewoud, V.B. (Vivienne) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""Giebels, S. (Sander) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,11,""Bal, A. (Ali) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,12,""Brante, M.C. (Maarten) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,13,""de Dood, H.J.M. (Marcel) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,14,""de Konink, S.A.M.M. (Stefan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
"20,Piratenpartij,1,""van de Leest, A.T. (Ancilla) (v)"",24,3,1,2,2,4,1,2,2,4,0,3"
",,2,""Pontier, M.A. (Matthijs) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,3,""Brouwer, H.A. (Rico) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,4,""Straver, A.T.E. (Alex) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,5,""Downs - Hovestadt, P.M.H. (Petra) (v)"",1,0,0,0,0,0,0,1,0,0,0,0"
",,6,""Feitsma, T.T. (Tjerk) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,7,""Lensink, M.C. (Maarten) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,8,""Janssen, L.D. (Lars) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,9,""Sikkema, G.B. (Bob) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""Dulfer, M. (Michiel) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,11,""Huurman, R.J. (Rogier) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,12,""Dieleman, B. (Bas) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,13,""Peskens, G.L.J. (Gijs) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,14,""Maessen, W.M.M. (Wiel) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,15,""Hallegraeff, D.S. (Dylan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,16,""de Jong, J.T. (Joran) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,17,""Batstra, J. (Janmaarten) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,18,""van der Velde, V.C. (Vincent) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,19,""Wijnans, F.P.E. (Frank) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,20,""van Oudheusden, L.J. (Leo) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,21,""Kleinpaste, G.J. (Gertjan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,22,""Stubbe, M. (Melvin) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,23,""Borghuis ook genaamd op de Borg, D.R. (Dave) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,24,""Schönberger, R.A. (Ronald) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,25,""van Luxzenburg, E. (Erik) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,26,""Bouyaara, O. (Uzi) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,27,""van den Dool, C.W. (Wim) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,28,""Hofman, E.D. (Ewoud) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,29,""Pasterkamp, J.D. (Jelle Dirk) (m)"",1,1,0,0,0,0,0,0,0,0,0,0"
",,30,""van Vuuren, M. (Martin) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,31,""Biesma, A.R. (Arne) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,32,""Gautier, J.T.N. (Teun) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,33,""van Ravensteijn, L.S. (Loulou) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,34,""Ziegler, F.C. (Floor) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,35,""Ventevogel, T.C. (Tommy) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,36,""Chaudry, K.A. (Khalid Ahmed) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,37,""Poot, D. (Dirk) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
"21,Artikel 1,1,""Simons, S.H. (Sylvana) (v)"",4,0,0,3,1,0,0,0,0,0,0,0"
",,2,""Faïd, F. (Fatima) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,3,""Sins, B.E. (Brigitte) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,4,""Akhechaa, A. (Adil) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
