LijstNr,Aanduiding van de politieke groepering,Nr,Naam op de lijst,Totaal,Sb 1,Sb 2,Sb 3,Sb 4,Sb 5,Sb 6,Sb 7,Sb 8,Sb 9,Sb 10,Sb 11,Sb 12,Sb 13,Sb 14,Sb 15,Sb 16,Sb 17,Sb 18
,,5,"van Dijk, G.J. (Gijs) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,"Kuiken, A.H. (Attje) (v)",8,0,0,0,1,0,0,1,3,0,2,0,0,0,0,0,1,0,0
,,7,"Nijboer, H. (Henk) (m)",7,0,0,0,0,0,1,2,1,0,1,0,1,0,1,0,0,0,0
,,8,"van den Hul, K.A.E. (Kirsten) (v)",3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
,,9,"Moorlag, W.J. (William) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,10,"Ploumen, E.M.J. (Lilianne) (v)",21,2,0,0,0,1,3,2,3,0,4,0,2,1,0,0,0,3,0
,,11,"Kerstens, J.W.M. (John) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,12,"de Kock, J.C.M. (Joke) (v)",3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
,,13,"Marcouch, A. (Ahmed) (m)",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,14,"Volp, M.J. (Marith) (v)",3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,15,"Moti, R. (Richard) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,16,"Yücel, K. (Keklik) (v)",2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
,,17,"Servaes, M. (Michiel) (m)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,18,"Bozkurt, E. (Emine) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,19,"van der Linde, I.M. (Ilco) (m)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,20,"Oosterbaan, C. (Christa) (v)",3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,21,"Mohandis, M. (Mohammed) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,22,"Ypma, L. (Loes) (v)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,23,"Recourt, J. (Jeroen) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,24,"Maij, M.E. (Marit) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,25,"de Kort, M.V. (Martijn) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,26,"Roopram, R.D. (Reshma) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,27,"Hoogland, D. (Duco) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,28,"Schellekens, G.M.M. (Giselle) (v)",4,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
,,29,"de Vries, A.A. (Albert) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30,"Biemans, M.S. (Mirthe) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,31,"Brouwer, H. (Harm) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,32,"Vos, M.L. (Mei Li) (v)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,33,"Reinaerts, J.L.H. (Joost) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,34,"Dibi, B. (Bouchra) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35,"van Drooge, S.W. (Bas) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,36,"Asante, A.A. (Amma) (v)",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,37,"Ünver, E. (Emre) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,38,"Vermue, J.G.P. (Joyce) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,39,"van Dekken, T.R. (Tjeerd) (m)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,40,"Hedin - Penninx, A. (Anna-Lena) (v)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,41,"Deen, B. (Bob) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,42,"Vorselman - Derksen, C.H.W.J. (Cindy) (v)",4,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0
,,43,"Pentenga, F. (Erik) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
