"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Maastricht"
"Nummer";"";"0935"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Theater aan het Vrijthof";"Centre Céramique";"Theater aan het Vrijthof";"Muziekschool Kumulus";"Klooster Zusters onder de Bogen";"Gemeenschapshuis De Lètterdoes";"Kumulus West";"Envida locatie Koepelhof";"Envida locatie Larisa, vm.Klevarie";"Centre Céramique";"Regionaal Historisch Centrum Limb.";"Wijkcombinatiegebouw La Bellettsa";"Buurtcentrum Sint Pieter";"Bernard Lievegoed School BO";"Pieterkelderke";"Stichting Moetiara Maloekoe";"Sportcafé Jekerdal";"Envida locatie Croonenhoff";"St. Gerlachus, Mosae Zorggroep";"Bernard Lievegoed School VO";"Campagne, Mosae Zorggroep";"Gemeenschapshuis Aen de Wan";"Basisschool Petrus en Paulus";"Basisschool Anne Frank";"Daalhof, Mosae Zorggroep";"Envida locatie La Valence";"Vm. Basisschool Fons Olterdissen";"Gymzaal Basisschool De Schans";"Buurtcentrum Ut Förtsje";"Basisschool de Kring";"Kindcentrum Dynamiek";"Harmoniezaal Kon. Harmonie Heer";"Buurtcentrum Mariaberg";"Sint Maartenscollege";"Flat, Elisabeth Gruytersstraat";"Nutsschool Maastricht";"Schoolgebouw Elisabeth Strouvenlaan";"Trefcentrum Wittevrouwenveld";"Stichting 't Gilde";"Maris Stella";"Zaaltje St. Annakerk";"Parochiecentrum Amby";"Buurtcentrum De Romein";"Envida locatie De Zeven Bronnen";"Bibliotheeksteunpunt Malpertuis";"Envida locatie Hagerpoort";"De Wiemerink";"Buurtcentrum Nazareth";"Scharwyerveld, Mosae Zorggroep";"Gemeenschapshuis Kap. Lochtmanhuis";"Centre Manjefiek Malberg";"Basisschool  De Maasköpkes";"Centre Manjefiek Malberg";"Sint Martinushoes";"Wijkcentrum De Luibe";"OBS de Perroen";"Buurtcentrum Boschpoort";"AZM, serrehal";"Winkelcentrum Brusselse Poort";"NS Centraal Station";"OBS de Regenboog";"Mob.Stembur. Maasveld/Mondriaan"
"";"";"2";"Hennis-Plasschaert, J.A.";"851";"28";"36";"25";"28";"8";"1";"8";"16";"21";"33";"16";"9";"26";"9";"21";"4";"10";"17";"28";"5";"22";"15";"14";"20";"11";"20";"10";"11";"5";"17";"13";"14";"5";"18";"12";"16";"7";"8";"10";"5";"9";"18";"3";"12";"1";"28";"6";"6";"5";"19";"7";"11";"5";"9";"13";"12";"5";"35";"6";"23";"15";"1"
"";"";"3";"Zijlstra, H.";"67";"2";"2";"3";"3";"0";"0";"1";"0";"0";"3";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"2";"0";"0";"1";"0";"1";"1";"1";"2";"2";"2";"3";"1";"2";"2";"1";"0";"0";"3";"0";"2";"0";"2";"1";"1";"0";"1";"1";"0";"2";"2";"1";"0";"3";"3";"0";"0";"1";"0";"1";"1";"0"
"";"";"4";"van Ark, T.";"37";"4";"0";"1";"0";"0";"0";"0";"2";"0";"2";"3";"0";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"1";"0";"0";"0";"1";"1";"0";"5";"0";"3";"0";"0"
"";"";"5";"Dijkhoff, K.H.D.M.";"770";"49";"21";"30";"21";"31";"0";"8";"7";"9";"31";"25";"2";"14";"10";"21";"2";"17";"22";"35";"7";"18";"10";"11";"13";"5";"21";"4";"7";"2";"8";"21";"17";"2";"22";"13";"11";"7";"6";"14";"2";"8";"20";"5";"11";"2";"15";"3";"9";"2";"13";"2";"6";"3";"3";"8";"5";"7";"21";"8";"19";"23";"1"
"";"";"6";"Dekker, S.";"12";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"7";"Visser, B.";"35";"0";"0";"1";"0";"0";"2";"0";"0";"0";"3";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"3";"0";"2";"0";"4";"0";"1";"0";"0";"1";"1";"0";"1";"0";"2";"1";"0"
"";"";"8";"Harbers, M.G.J.";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"ten Broeke, J.H.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Azmani, M.";"7";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"Wiersma, A.D.";"12";"0";"0";"1";"0";"1";"0";"0";"3";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
