contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
's-Hertogenbosch,Boxmeer,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeenschapshuis Vortum-Mullem,0756::SB11,5827 AL,492,405,0,0,112,37,22,63,131,22,3,4,0,1,0,0,0,0,0,10,0,0,0,0
's-Hertogenbosch,Boxmeer,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Café ""'t Trefpunt"" Holthees",0756::SB12,5824 AB,355,296,1,0,107,39,16,22,81,16,6,1,0,4,0,0,0,1,1,1,0,0,1,0
's-Hertogenbosch,Boxmeer,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Plein 27, Maashees",0756::SB13,5823 AB,716,542,1,1,127,92,48,61,176,19,4,1,1,6,1,2,0,0,0,2,0,0,2,0
's-Hertogenbosch,Boxmeer,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Koningskerkje, Vierlingsbeek",0756::SB14,5821 BB,1984,1601,4,0,396,210,157,173,521,79,25,10,0,13,3,0,0,0,1,12,0,0,1,0
's-Hertogenbosch,Boxmeer,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Café ""de Zandpoort"" Groeningen",0756::SB15,5826 AD,327,274,0,0,90,30,22,35,69,14,6,2,0,3,0,0,0,0,0,2,0,0,1,0
's-Hertogenbosch,Boxmeer,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Gemeenschapshuis1, Overloon",0756::SB16,5825 CC,1440,1202,1,2,400,133,99,167,267,75,19,8,0,10,3,2,0,1,0,18,0,0,0,0
's-Hertogenbosch,Boxmeer,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Gemeenschapshuis2, Overloon",0756::SB17,5825 CC,1422,1123,3,1,332,169,77,173,249,73,11,5,0,7,3,0,0,3,0,20,0,0,1,0
's-Hertogenbosch,Boxmeer,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau ABAB-accountancy,0756::SB18,5831 PJ,1118,664,2,1,213,119,34,79,153,39,12,4,0,4,0,2,0,0,0,4,0,0,0,1
's-Hertogenbosch,Boxmeer,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Eetcafé 't Drummerke,0756::SB19,5831 GK,1290,695,2,0,231,113,33,79,170,41,9,3,1,10,1,0,0,0,0,2,0,0,2,0
's-Hertogenbosch,Boxmeer,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Mobiel stembureau,0756::SB20,,0,272,0,1,40,19,5,121,65,3,7,3,0,3,0,1,0,0,0,5,0,0,0,0
