contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Staatkundig Gereformeerde Partij (SGP),ChristenUnie,GROENLINKS,Partij voor de Dieren,50PLUS,DENK,NIDA,Code Oranje,Forum voor Democratie,Lokale Partijen Zuid Holland (LPZH),JEZUS LEEFT
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Muziekvereniging Harmonie Slikkerveer,0597::SB11,2983 CL,1207,925,1,0,0,0,0,843,83,0,0,0,0,0,926,107,70,45,60,59,35,101,79,54,30,60,5,0,8,203,5,4
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Irenekerk,0597::SB12,2983 GV,1150,830,5,3,0,0,1,836,1,0,0,0,0,0,838,130,43,38,59,53,24,91,71,38,29,41,4,2,2,203,2,0
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Boezemkerk,0597::SB13,2987 AK,1398,429,0,0,0,0,0,385,43,0,1,0,1,0,428,38,52,19,17,27,19,24,21,28,23,29,6,1,4,117,3,1
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau WVC Bolnes,0597::SB14,2987 CR,1805,1174,1,5,0,3,0,1052,131,0,0,3,0,0,1183,131,137,51,79,102,84,70,52,57,33,76,16,5,4,267,9,1
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau De Klinker,0597::SB15,2987 AV,1585,849,9,5,0,0,0,793,70,0,0,0,0,0,863,76,88,41,42,74,55,42,28,54,28,69,10,6,1,223,11,1
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Kerk Bolnes,0597::SB16,2987 AK,1433,750,1,1,0,0,0,680,72,0,0,0,0,0,752,90,69,51,39,74,42,47,38,41,15,47,4,2,4,183,3,1
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau De Korenbloem,0597::SB17,2989 AW,528,340,1,2,0,0,0,303,40,0,0,0,0,0,343,33,23,18,15,14,9,110,28,10,9,10,3,0,0,49,5,4
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Dislocatie de Klimop,0597::SB18,2988 XD,981,607,2,0,0,0,0,541,69,1,0,1,0,0,610,86,36,22,84,28,27,76,53,27,30,19,0,0,0,110,8,1
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Kerk Rijsoord,0597::SB19,2988 BA,1343,871,1,0,0,0,0,757,115,0,0,0,0,0,872,132,44,39,99,32,12,144,95,26,33,32,1,0,0,173,7,2
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau CBS de Bongerd,0597::SB20,2986 CA,1507,761,0,2,0,0,0,676,87,0,0,0,0,0,763,86,78,31,57,79,34,49,56,45,27,41,10,0,6,159,3,0
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Sionskerk,0597::SB21,2984 BW,667,298,0,1,0,0,0,265,34,0,0,0,0,0,299,50,16,15,12,19,10,41,17,21,12,6,0,0,0,78,1,0
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau WZC Reijerheem,0597::SB22,2986 GB,1057,558,4,1,2,0,0,523,42,0,0,2,0,0,565,31,59,14,44,77,35,25,41,26,23,47,9,2,0,122,1,2
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Verpleeghuis Salem,0597::SB23,2986 AZ,1155,664,0,0,0,0,0,582,82,0,0,0,0,0,664,76,43,34,43,49,14,153,64,16,16,40,1,0,1,110,4,0
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau 't Ronde Sant,0597::SB24,2984 GK,1647,1097,1,3,0,1,0,950,150,0,1,0,0,0,1100,154,79,57,83,66,46,67,110,52,22,75,4,0,2,276,3,1
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau OBS de Piramide,0597::SB25,2981 AJ,1103,570,2,3,0,0,0,502,73,0,0,0,0,0,575,41,69,14,18,42,21,125,51,26,11,28,16,1,2,101,4,0
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Christus is Koningkerk,0597::SB26,2983 HK,1596,784,1,2,0,9,0,715,81,9,0,9,0,0,796,71,71,24,52,51,32,132,108,37,26,37,4,0,4,131,3,1
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Ichthuskerk,0597::SB27,2986 GH,2841,1421,2,1,0,1,0,1274,153,0,0,3,0,0,1427,181,103,70,105,114,82,101,102,73,36,93,14,5,5,328,8,1
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Goede Herderkerk,0597::SB28,2982 BT,1167,468,1,0,0,1,0,415,55,0,0,1,0,0,470,34,45,10,37,33,14,88,50,16,12,22,9,0,2,91,4,1
