contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,50PLUS,Partij voor de Dieren,ChristenUnie-SGP,Lokaal Brabant,Ouderen Appèl - Hart voor Brabant,Forum voor Democratie,DENK,Senioren Brabant,Code Oranje
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 021 Vitalis Brunswijck,0772::SB21,,2991,702,2,0,0,0,0,648,61,0,0,5,0,0,709,73,59,57,62,67,58,67,54,29,15,6,20,91,35,9,0
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 022 Archipel Landrijt,0772::SB22,,2649,538,3,4,0,0,1,504,40,0,0,0,0,0,545,55,43,53,61,32,36,57,44,24,12,6,10,76,19,7,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 023 service verzorgingscentrum Peppelrode,0772::SB23,,1663,960,4,2,0,0,0,870,98,2,0,2,0,0,968,170,99,84,70,99,78,100,48,46,16,14,11,109,8,6,2
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 024 Summa College Sterrenlaan,0772::SB24,,2001,535,3,0,0,1,0,497,40,0,1,0,0,0,537,92,58,42,22,62,43,79,31,25,10,6,9,47,3,3,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 025 Sporthal Eckart,0772::SB25,,3944,761,2,2,0,5,1,706,63,0,0,5,0,0,770,113,71,66,62,60,70,85,39,32,16,10,9,93,27,6,2
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 026 Ontmoetingscentrum de Cabine,0772::SB26,,3212,615,2,5,0,0,0,581,41,0,0,0,0,0,622,63,41,71,68,58,36,83,45,25,21,3,11,68,13,6,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 027 Basisschool Louis Buelens,0772::SB27,,2670,763,1,2,0,3,0,688,75,0,3,0,0,0,763,96,73,72,71,76,61,91,32,21,11,15,15,119,6,4,0
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 028 Archipel Dommelhoef,0772::SB28,,1534,976,3,5,0,0,0,862,122,0,0,0,0,0,984,270,71,47,18,171,81,148,8,63,13,8,6,59,2,3,8
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 029 gebouw Rode Kruis,0772::SB29,,1631,958,4,0,0,0,0,885,77,0,0,0,0,0,962,123,41,100,43,141,75,133,34,48,7,13,11,123,54,5,7
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 030 Basisschool De Driesprong,0772::SB30,,3059,520,2,3,0,0,0,477,48,0,0,0,0,0,525,41,29,75,46,57,41,65,20,24,3,14,4,65,32,2,2
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 031 Vitalis Berckelhof,0772::SB31,,3561,775,5,2,0,0,1,701,80,0,0,0,0,0,782,88,37,69,72,85,63,107,31,50,16,6,17,80,42,8,4
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 032 Activiteitencentrum Orka,0772::SB32,,2703,719,2,1,0,0,0,673,49,0,0,0,0,0,722,49,37,86,60,59,70,107,45,51,15,12,6,98,14,7,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 033 Spilcentrum de Boog,0772::SB33,,2993,716,2,2,2,0,0,654,64,0,2,0,0,0,718,163,73,36,38,77,62,75,35,29,15,4,5,83,10,8,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 034 Woonzorgcentrum Wilgenhof,0772::SB34,,2771,815,5,0,0,0,1,744,75,0,0,0,0,0,820,105,65,59,29,123,85,158,26,59,11,15,20,41,3,8,8
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 035 Basisschool De Wilakkers,0772::SB35,,3037,577,0,0,0,0,0,536,41,0,0,0,0,0,577,89,38,60,25,101,43,104,10,38,4,7,5,45,2,4,2
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 036 Basisschool Beppino Sarto,0772::SB36,,2842,710,4,2,0,0,0,661,56,0,0,1,0,1,717,91,32,76,35,86,69,103,20,40,10,12,9,70,50,5,2
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 037 Wijkcentrum 't Akkertje,0772::SB37,,3712,756,6,2,0,0,0,691,73,0,0,0,0,0,764,73,39,95,78,66,53,122,28,47,8,5,19,90,24,5,4
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 038 Basisschool De Regenboog,0772::SB38,,3192,862,6,5,0,5,0,800,78,0,0,5,0,0,878,112,56,78,49,105,63,152,19,81,15,12,10,79,23,4,4
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 039 Basisschool De Talisman,0772::SB39,,3195,944,6,1,0,0,0,962,0,0,0,11,0,0,962,147,53,86,37,135,91,186,11,75,9,9,13,70,13,5,4
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 040 Vitalis Wissenhaege,0772::SB40,,1853,1109,6,1,0,0,1,1002,113,0,0,0,0,0,1116,281,132,59,29,177,68,156,23,52,10,13,5,97,0,6,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 041 Parktheater,0772::SB41,,2814,758,0,5,0,1,0,692,72,0,0,1,0,0,764,189,62,26,14,134,73,112,9,43,7,10,6,66,0,4,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 042 Recreatieruimte Hof van Eden,0772::SB42,,1623,1026,3,2,0,0,0,939,92,0,0,0,0,0,1031,167,34,87,16,165,125,241,19,83,10,8,12,52,0,3,4
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 043 Buurtcentrum de Rondweg,0772::SB43,,1434,750,2,1,0,0,0,699,53,0,1,0,0,0,752,116,49,51,31,112,99,134,24,48,6,5,6,48,16,5,0
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 044 Wijkcentrum de Dommel,0772::SB44,,1299,950,3,3,0,0,0,894,62,0,0,0,0,0,956,99,61,104,65,99,76,160,36,71,18,17,17,95,13,16,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 045 Wijkcentrum de Dommel,0772::SB45,,2203,360,2,2,0,0,0,327,37,0,0,0,0,0,364,14,13,49,50,28,27,35,18,19,3,1,6,57,38,1,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 046 Wijkgebouw 't Slot,0772::SB46,,3311,1013,3,7,0,0,0,924,99,0,0,0,0,0,1023,140,73,96,91,103,89,114,55,48,34,18,15,117,8,10,2
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 047 Basisschool de Hobbitstee,0772::SB47,,2586,599,3,1,2,0,0,551,50,0,2,0,0,0,601,67,54,56,27,57,47,79,32,26,20,14,12,95,5,5,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 048 Basisschool Karel de Grote,0772::SB48,,1635,710,2,5,0,0,0,664,53,0,0,0,0,0,717,46,31,101,78,47,76,91,27,47,15,4,9,89,38,8,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 049 Vitalis Engelsbergen,0772::SB49,,1326,625,2,2,0,0,0,585,44,0,0,0,0,0,629,59,59,76,38,62,51,90,34,36,7,7,21,60,17,5,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 050 Vitalis Vonderhof,0772::SB50,,2217,469,2,2,1,0,0,431,43,0,0,1,0,0,474,73,22,38,26,59,47,84,6,56,7,3,7,37,0,2,2
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 051 Summa College Welzijn,0772::SB51,,2481,639,2,1,0,0,0,578,64,0,0,0,0,0,642,98,24,51,22,112,73,119,20,48,2,9,3,50,6,0,2
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 052 Basisschool Trudo,0772::SB52,,2734,833,3,2,0,1,0,770,69,0,0,1,0,0,839,93,44,71,58,107,71,131,29,66,10,20,11,113,3,5,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 053 Gemeenschapshuis de Lievendaal,0772::SB53,,1399,405,3,6,0,1,0,378,34,0,2,0,0,0,412,36,18,73,70,26,32,30,19,11,6,8,10,55,5,3,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 054 Sociëteit Het Struikske,0772::SB54,,1868,872,4,1,0,0,1,805,70,0,1,0,0,0,876,87,56,111,52,87,78,130,32,63,7,17,7,128,7,10,0
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 055 Basisschool De Spaaihoeve,0772::SB55,,2076,387,1,1,0,0,0,344,44,0,1,0,1,0,388,59,33,52,21,32,20,41,18,13,11,10,0,66,1,7,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 056 Basisschool De Boschuil,0772::SB56,,2763,650,1,3,0,1,1,570,84,0,0,1,0,0,655,153,74,30,29,65,37,63,41,19,10,12,9,94,8,6,0
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 057 Basisschool de Vuurvlinder,0772::SB57,,1651,654,1,1,0,0,0,581,75,0,0,0,0,0,656,148,52,32,42,60,46,45,37,43,8,11,14,106,5,4,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 058 Basisschool de Vuurvlinder,0772::SB58,,2404,514,1,1,0,0,0,456,60,0,0,0,0,0,516,120,32,42,31,58,31,27,20,26,12,17,5,86,4,3,0
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 059 Gymzaal Basisschool De reis van Brandaan,0772::SB59,,1542,949,2,1,0,0,0,857,97,0,0,2,0,0,954,198,75,53,38,124,78,134,31,46,26,16,11,101,10,7,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 060 Woonzorgcentrum Gagelbosch,0772::SB60,,1153,687,4,4,0,2,2,654,41,0,0,2,0,0,697,49,76,76,80,44,42,47,70,27,16,11,27,94,11,15,2
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 061 Gymzaal 't Slingertouw,0772::SB61,,1471,868,2,0,0,1,0,766,103,0,1,0,0,0,869,174,44,78,60,103,79,79,20,46,15,11,9,109,23,11,7
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 062 De Hangar,0772::SB62,,2557,1002,1,5,2,0,1,908,97,0,2,0,0,0,1006,189,83,85,29,120,95,126,41,38,16,15,16,133,9,6,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 063 Kantine Sportpark,0772::SB63,,2944,718,1,0,0,0,0,631,88,0,0,0,0,0,719,201,71,46,38,93,56,58,28,17,6,9,7,78,6,4,0
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 064 Station NS centrumzijde,0772::SB64,,0,1086,4,12,0,0,3,1043,56,0,0,0,0,0,1102,171,43,84,24,234,83,230,21,67,12,13,2,77,18,4,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 065 Nat Lab,0772::SB65,,2352,1006,7,3,0,3,0,961,52,0,3,0,0,0,1013,130,41,79,38,205,73,209,13,87,17,17,4,80,8,2,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 066 B&O gebouw,0772::SB66,,806,492,1,0,0,1,0,463,31,0,0,1,0,0,494,49,32,51,56,42,42,63,21,20,9,5,4,63,23,4,8
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 067 Sociëteit Het Struikske,0772::SB67,,1291,395,1,1,0,0,0,368,29,0,0,0,0,0,397,29,16,58,44,44,31,32,28,23,11,5,8,52,6,5,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 068 Stadskantoor,0772::SB68,,0,491,2,1,0,0,1,457,36,0,0,0,0,0,494,116,29,30,18,66,33,76,13,23,6,5,2,66,3,0,5
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 069 Basisschool De Driestam,0772::SB69,,713,362,3,4,0,0,0,343,26,0,0,0,0,0,369,38,13,21,22,41,32,85,14,25,5,1,2,37,21,4,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 070 Basisschool Fellenoord,0772::SB70,,1102,615,3,0,0,1,0,570,49,0,0,1,0,0,619,53,24,77,36,79,54,79,24,26,5,11,8,75,56,3,5
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 071 Popei,0772::SB71,,1660,581,3,1,0,0,0,557,28,0,0,0,0,0,585,62,20,50,33,93,55,125,11,56,3,8,6,45,6,2,6
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 072 Vitalis De Horst,0772::SB72,,1377,546,3,4,0,0,0,519,34,0,0,0,0,0,553,61,81,40,37,60,47,61,32,23,6,6,18,60,11,2,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 073 Basisschool Atalanta,0772::SB73,,0,843,3,5,0,0,0,773,77,0,1,0,0,0,850,72,63,106,81,62,67,79,45,36,14,11,13,105,83,4,2
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 074 Ontmoetingsruimte Pieter Eiffhuis,0772::SB74,,0,530,2,0,0,0,0,482,50,0,0,0,0,0,532,69,50,59,34,39,32,38,44,24,17,13,13,88,5,2,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 075 VTA De Mortel,0772::SB75,,0,1040,0,1,0,4,0,952,98,5,0,9,0,0,1050,126,83,98,78,75,93,98,69,45,16,19,11,212,4,10,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 076 Gymzaal Bordeauxlaan,0772::SB76,,0,454,1,0,2,0,0,417,36,0,2,0,0,0,453,42,34,60,39,26,32,39,36,18,26,7,6,79,7,3,0
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 077 Service/verzorgingscentrum Antonius,0772::SB77,,0,854,2,0,14,0,0,742,100,0,14,0,0,0,842,205,125,39,51,84,44,74,49,29,25,8,7,103,0,8,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 078 Archipel Den Eerdbrand/De Bevelanden,0772::SB78,,0,658,5,3,0,1,0,580,85,0,1,0,0,0,665,71,75,73,70,45,61,64,34,19,21,4,13,94,10,4,0
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 080 Basisschool Cornelis Jetses,0772::SB80,,0,527,4,2,0,2,1,486,48,0,0,2,0,0,535,50,39,65,49,40,44,43,19,23,11,11,7,74,45,5,2
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 081 Basisschool de Korenaar,0772::SB81,,0,448,0,3,0,0,0,414,37,0,0,0,0,0,451,33,28,58,40,28,43,55,34,27,11,4,10,59,14,2,2
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 082 Vitalis Brunswijck,0772::SB82,,0,612,2,0,0,0,0,567,47,0,0,0,0,0,614,60,62,75,48,33,51,60,40,18,11,13,15,95,22,8,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 083 Archipel Landrijt,0772::SB83,,0,522,6,0,0,0,0,492,36,0,0,0,0,0,528,61,33,45,52,48,34,56,36,23,5,4,14,95,11,3,2
